Date,Comptes utilisateur actifs,Affichage
17 avr. 2020,2000,12387
18 avr. 2020,1498,5997
19 avr. 2020,1437,5162
20 avr. 2020,1443,5405
21 avr. 2020,1398,4523
22 avr. 2020,1380,4867
23 avr. 2020,1256,3943
24 avr. 2020,1472,4728
25 avr. 2020,1256,4093
26 avr. 2020,1301,3745
27 avr. 2020,1299,3810
28 avr. 2020,1301,4035
29 avr. 2020,1265,3825
30 avr. 2020,1275,4167
1 mai 2020,1114,3356
2 mai 2020,1117,3719
3 mai 2020,1146,3304
4 mai 2020,1220,3790
5 mai 2020,1260,3822
6 mai 2020,1201,3901
7 mai 2020,1274,4030
8 mai 2020,1136,3472
9 mai 2020,1075,3203
10 mai 2020,1169,3488
11 mai 2020,1212,3763
12 mai 2020,1233,4249
13 mai 2020,1161,3541
14 mai 2020,1530,5417
15 mai 2020,1159,3468
16 mai 2020,1020,3325
17 mai 2020,1197,3615
18 mai 2020,1133,3444
19 mai 2020,1145,3678
20 mai 2020,1171,3693
21 mai 2020,1134,3462
22 mai 2020,1007,2797
23 mai 2020,984,2814
24 mai 2020,1016,3160
25 mai 2020,1093,3284
26 mai 2020,1143,3537
27 mai 2020,1081,3598
28 mai 2020,1115,3296
29 mai 2020,1057,3310
30 mai 2020,1070,3353
31 mai 2020,1089,3355
1 juin 2020,1122,3477
2 juin 2020,1178,3739
3 juin 2020,1139,3759
4 juin 2020,1244,3865
5 juin 2020,1162,3680
6 juin 2020,1113,3613
7 juin 2020,1109,3425
8 juin 2020,1157,3261
9 juin 2020,1219,3644
10 juin 2020,1177,3763
11 juin 2020,1202,3600
12 juin 2020,1157,3825
13 juin 2020,1148,3318
14 juin 2020,1116,3340
15 juin 2020,1228,3677
16 juin 2020,1243,3605
17 juin 2020,1222,3318
18 juin 2020,1171,3638
19 juin 2020,1135,3360
20 juin 2020,1088,3274
21 juin 2020,1213,3539
22 juin 2020,1192,3494
23 juin 2020,1286,3709
24 juin 2020,1257,3676
25 juin 2020,1267,3666
26 juin 2020,1142,3628
27 juin 2020,1083,3310
28 juin 2020,1149,3127
29 juin 2020,1153,3279
30 juin 2020,1295,3571
1 juil. 2020,1280,3680
2 juil. 2020,1316,3990
3 juil. 2020,1260,3784
4 juil. 2020,1144,3434
5 juil. 2020,1237,3914
6 juil. 2020,1535,4783
7 juil. 2020,1780,6673
8 juil. 2020,1782,6137
9 juil. 2020,1782,6137
10 juil. 2020,1421,4598
11 juil. 2020,1317,4123
12 juil. 2020,1428,4019
13 juil. 2020,1410,4027
14 juil. 2020,1410,4059
15 juil. 2020,1389,4016
16 juil. 2020,1387,3916
17 juil. 2020,1249,3779
18 juil. 2020,1278,3744
19 juil. 2020,1795,5983
20 juil. 2020,1916,5847
21 juil. 2020,2000,6040
22 juil. 2020,1770,4346
23 juil. 2020,1676,4411
24 juil. 2020,1404,3705
25 juil. 2020,1311,3378
26 juil. 2020,1734,4685
27 juil. 2020,1650,4227
28 juil. 2020,1790,4701
29 juil. 2020,1590,3817
30 juil. 2020,1407,3635
31 juil. 2020,1092,2502
1 août 2020,1226,3141
2 août 2020,1440,3790
3 août 2020,1559,3934
4 août 2020,1551,3836
5 août 2020,1405,3741
6 août 2020,1400,4025
7 août 2020,1255,3600
8 août 2020,1268,3573
9 août 2020,1499,4486
10 août 2020,1549,4527
11 août 2020,1653,4649
12 août 2020,1571,4646
13 août 2020,1517,4275
14 août 2020,1263,3850
15 août 2020,1209,3511
16 août 2020,1475,4035
17 août 2020,1422,3910
18 août 2020,1606,4197
19 août 2020,1668,5279
20 août 2020,1416,4460
21 août 2020,1297,4094
22 août 2020,1226,3588
23 août 2020,1307,3740
24 août 2020,1393,4092
25 août 2020,1562,4390
26 août 2020,1465,4228
27 août 2020,1472,4450
28 août 2020,1232,3600
29 août 2020,1187,3336
30 août 2020,1391,3434
31 août 2020,1365,3462
1 sept. 2020,1482,4416
2 sept. 2020,1435,3872
3 sept. 2020,1469,4453
4 sept. 2020,1297,4527
5 sept. 2020,1333,4361
6 sept. 2020,1591,5268
7 sept. 2020,1681,5711
8 sept. 2020,1803,5793
9 sept. 2020,1641,4733
10 sept. 2020,1551,4631
11 sept. 2020,1229,3285
12 sept. 2020,1251,3558
13 sept. 2020,1711,4980
14 sept. 2020,1620,4455
15 sept. 2020,1573,4265
16 sept. 2020,1495,3661
17 sept. 2020,1611,4089
18 sept. 2020,1157,3271
19 sept. 2020,1222,3462
20 sept. 2020,1601,4655
21 sept. 2020,1576,4453
22 sept. 2020,3812,20977
23 sept. 2020,3132,15268
24 sept. 2020,2581,9363
25 sept. 2020,1929,7212
26 sept. 2020,1954,6863
27 sept. 2020,2245,7347
28 sept. 2020,2185,7051
29 sept. 2020,5525,30660
30 sept. 2020,2848,10440
1 oct. 2020,2367,7430
2 oct. 2020,1817,5709
3 oct. 2020,1827,5311
4 oct. 2020,1971,5659
5 oct. 2020,2133,6139
6 oct. 2020,4033,16090
7 oct. 2020,2517,8696
8 oct. 2020,2299,6736
9 oct. 2020,1646,5297
10 oct. 2020,1775,5780
11 oct. 2020,2076,5894
12 oct. 2020,2191,6573
13 oct. 2020,3824,13469
14 oct. 2020,2359,7677
15 oct. 2020,2247,6714
16 oct. 2020,1669,5481
17 oct. 2020,1607,4452
18 oct. 2020,1921,5431
19 oct. 2020,1852,5352
20 oct. 2020,3375,11289
21 oct. 2020,2181,6466
22 oct. 2020,2169,6540
